gene_id	1-TCGA-59-A5PD-01A-11R-A406-31	2-TCGA-OY-A56Q-01A-11R-A406-31	2-TCGA-61-2012-01A-01R-1568-13	2-TCGA-24-1556-01A-01R-1566-13	2-TCGA-3P-A9WA-01A-11R-A406-31	2-TCGA-04-1362-01A-01R-1565-13	2-TCGA-09-2044-01B-01R-1568-13	3-TCGA-24-1567-01A-01R-1566-13	3-TCGA-09-1670-01A-01R-1566-13	3-TCGA-23-1027-01A-02R-1564-13	3-TCGA-29-1785-01A-01R-1567-13	3-TCGA-13-1481-01A-01R-1565-13	3-TCGA-13-0916-01A-01R-1564-13	4-TCGA-13-1511-01A-01R-1565-13	4-TCGA-13-1405-01A-01R-1565-13	4-TCGA-24-1417-01A-01R-1565-13	4-TCGA-59-2350-01A-01R-1569-13	4-TCGA-25-2397-01A-01R-1569-13	4-TCGA-23-2084-01A-02R-1568-13
BIN3	6.88857	7.46623	6.46303	7.06902	6.608	6.81454	6.91771	6.55251	6.43935	7.73936	7.11721	6.70073	7.7463	6.91374	7.13489	6.65286	6.55536	6.16961	6.47389
BIRC2	8.6165	8.17723	7.54486	7.81923	8.94911	8.52318	7.96207	8.36451	8.4375	8.9675	7.71512	8.64259	8.20193	8.60117	8.49719	8.47908	8.61159	8.10862	8.79482
BIRC3	6.52649	3.60075	6.51915	7.03174	6.12905	7.24708	5.83481	5.6204	6.27288	7.83201	6.48768	6.01859	5.69373	8.47991	6.16542	7.07412	7.27517	6.74759	5.72685
BIRC5	8.76457	6.09562	7.58426	8.57119	7.63311	7.58172	8.72314	7.87975	7.23177	8.4812	7.84052	7.64949	7.92768	7.0138	7.68697	7.96141	8.24596	6.95923	8.7866
BIRC6	9.33794	9.1743	7.8336	8.6533	9.66523	8.25062	7.78281	8.29405	8.72843	8.42617	7.92299	8.2938	8.60795	8.97424	8.58784	8.72356	8.48879	8.01961	8.65207
BIRC7	5.48064	0.291851	1.82016	0.328333	0.145926	0	1.95427	1.03733	1.23664	2.62611	1.82016	3.39303	3.19991	2.14118	1.82016	1.07571	0	1.88247	0
BIRC8	0	0	0	0.145926	0	0	0	0.291851	0	0.574761	0	0	0	0	0	0	0	0	0
BIVM	7.73773	6.51619	5.32788	7.70841	7.07242	7.1309	6.78333	6.96319	6.95368	6.99851	6.99942	7.91462	7.1025	7.09672	6.00635	7.2385	6.24028	6.72503	7.41818
BLCAP	8.54169	8.41781	7.9363	8.19616	9.7807	8.38686	8.12563	8.40358	8.87933	8.91892	8.21257	8.7098	9.17544	8.05833	8.37448	8.59933	8.76077	8.28096	8.96967
BLID	0.669064	0.291851	0	1.6518	0.182407	0.437777	0	0.474259	1.03733	2.43803	0.145926	0.789243	0	0	0	0	0.364814	0	0
BLK	0	0	3.69507	1.82016	1.03733	0.437777	6.08677	0.401296	1.81519	1.90087	2.37566	2.71601	3.56684	0	4.51223	3.28631	4.75934	2.4428	0.754425
BLMH	7.77695	7.35883	6.96508	7.67043	7.0859	7.09257	7.05186	7.21524	7.13887	7.12609	6.43775	7.16935	8.06086	6.23441	7.04752	6.86485	7.13887	6.50877	6.82329
BLM	7.68294	5.50126	5.79606	7.48156	7.3025	6.49527	6.56103	6.65028	6.01127	6.68586	6.01859	7.21156	8.03431	6.1591	6.45362	6.41182	7.0859	5.20949	6.80904
BLNK	2.56256	4.59843	5.2933	6.33505	4.57925	5.45532	6.00389	6.34212	6.32257	6.03309	5.34233	6.07764	5.63835	7.55066	5.03695	5.62762	5.56068	4.87253	5.43808
BLOC1S1	7.95861	8.24061	8.04076	8.32202	8.52521	8.54481	8.17364	7.77067	8.22502	8.91942	8.20485	8.66041	9.28541	7.99699	7.80303	7.87737	8.45829	7.65396	7.92247
BLOC1S2	7.11396	7.2233	6.71538	7.03262	6.71296	7.26822	8.56159	7.53316	7.59488	7.46221	6.84907	7.59035	7.91826	7.32383	7.0934	7.31788	7.6044	6.608	7.48941
BLOC1S3	7.56579	7.44542	6.45205	7.24993	7.37149	6.90575	7.05445	7.31122	6.45677	8.01434	7.43248	7.40123	7.65964	7.07665	7.59337	7.60738	7.54908	6.44572	7.73456
BLVRA	5.23644	6.95177	7.82325	8.11432	8.20849	6.66441	7.9036	6.90875	7.84971	7.66996	6.95559	7.49942	8.08795	7.75876	6.70564	7.38709	8.77956	6.77308	7.68202
BLVRB	7.9363	7.36391	8.26256	8.46716	7.12609	8.14206	9.04358	7.35372	7.16472	8.56579	7.53636	7.65112	7.39326	8.22443	8.06621	7.59488	7.90875	8.02421	8.07122
BLZF1	7.17319	6.73697	6.60665	7.50108	7.54168	6.94698	7.24065	7.34536	7.32712	7.41818	7.17396	7.28961	7.47986	7.19968	7.25134	7.87929	7.1301	6.67077	7.50604
BMF	8.80941	6.62539	7.09589	7.69939	8.72258	7.95963	7.09838	7.60688	7.58528	7.17396	6.98379	8.40021	8.0904	8.8922	7.97591	7.74846	7.05445	5.26269	6.73221
BMI1	8.53342	8.121	8.78456	8.09599	8.98662	8.29523	8.45608	8.02664	8.85556	7.84709	8.48782	8.57776	8.89102	7.54517	8.05834	8.46946	8.46809	7.23092	8.68119
BMP10	0	0	0	0.182407	0	0	0.218889	0.438819	0	0.561005	0.145926	0	0	0	0	0	0	0	0
BMP15	0.611242	0	0	1.12544	0	0	0.328333	0.401296	0.690404	0.563235	0.145926	0	0	0	0	0	0	0	0
BMP1	7.88796	8.15909	8.04751	7.73368	7.46221	8.22497	7.446	7.74284	7.25559	8.90327	8.21528	8.62999	8.95738	8.59582	9.33856	7.71244	7.41938	6.83948	8.06684
BMP2K	7.19217	6.98472	6.81344	7.31522	6.70196	6.96319	7.3994	6.38688	7.07918	7.18766	6.87005	6.09131	7.74457	7.45066	6.85013	7.08924	6.23245	6.50429	7.24423
BMP2	3.66797	1.81192	4.80252	3.72151	2.84025	4.14336	2.94954	5.29832	2.3873	4.55461	2.64855	5.23644	3.46165	3.99435	4.16036	4.48448	3.62121	1.5297	3.0916
BMP3	3.66007	0	3.41768	4.32629	1.20381	4.28717	1.4967	3.41567	1.54538	1.54538	0	5.3845	1.07382	2.30219	0.951295	4.67496	0.521338	2.19111	3.4453
BMP4	3.85496	4.86525	5.37064	6.07304	3.57351	5.1985	6.23637	7.86019	5.56834	7.06732	4.99686	7.35883	5.15906	5.71373	6.09357	5.77455	7.39018	5.85507	5.60947
BMP5	0	0	0	0.218889	0	0	0	6.52356	0	0.611242	0	0.754425	1.07382	0	0.474259	0	0	0	0.754425
BMP6	5.17309	9.06105	5.76644	5.11433	3.84524	5.21379	4.97346	5.92674	5.16969	5.84505	4.06472	5.88474	8.35619	4.63981	5.19196	5.25942	5.91688	5.65252	6.85682
BMP7	9.67143	9.20462	8.96967	2.72954	8.1699	8.37977	9.80565	9.91418	8.11761	7.94272	0.401296	9.85272	5.56068	7.45356	6.01127	7.57866	9.68122	8.55584	8.52437
